iter	Passed	Remaining
483	33931	36175
484	34001	36104
485	34069	36032
486	34140	35963
487	34210	35893
488	34280	35822
489	34387	35791
490	34460	35723
491	34531	35654
492	34601	35584
493	34676	35518
494	34746	35448
495	34832	35394
496	34903	35325
497	34989	35270
498	35058	35198
499	35127	35127
500	35196	35056
501	35266	34985
502	35335	34914
503	35403	34841
504	35472	34770
505	35541	34698
506	35612	34628
507	35683	34559
508	35752	34488
509	35821	34416
510	35888	34342
511	35956	34271
512	36025	34199
513	36095	34128
514	36166	34059
515	36234	33987
516	36303	33916
517	36370	33843
518	36440	33772
519	36508	33699
520	36614	33663
521	36684	33591
522	36753	33520
523	36825	33452
524	36893	33379
525	36962	33307
526	37030	33236
527	37099	33164
528	37169	33093
529	37238	33022
530	37307	32951
531	37375	32879
532	37445	32808
533	37512	32735
534	37581	32664
535	37652	32595
536	37722	32524
537	37790	32452
538	37884	32402
539	37956	32333
540	38025	32262
541	38095	32191
542	38163	32119
543	38230	32046
544	38299	31974
545	38367	31902
546	38435	31830
547	38551	31797
548	38625	31730
549	38704	31666
550	38803	31620
551	38871	31547
552	38941	31476
553	39010	31405
554	39081	31335
555	39150	31263
556	39226	31198
557	39299	31129
558	39371	31060
559	39442	30990
560	39513	30920
561	39586	30851
562	39668	30790
563	39740	30721
564	39813	30652
565	39890	30587
566	39960	30516
567	40095	30495
568	40165	30424
569	40292	30395
570	40361	30324
571	40431	30252
572	40500	30180
573	40573	30111
574	40641	30039
575	40709	29966
576	40777	29894
577	40847	29822
578	40938	29766
579	41022	29705
580	41091	29633
581	41161	29562
582	41229	29490
583	41297	29417
584	41366	29345
585	41432	29271
586	41504	29201
587	41574	29130
588	41643	29058
589	41712	28986
590	41779	28913
591	41864	28852
592	41933	28780
593	42004	28709
594	42073	28638
595	42141	28565
596	42210	28493
597	42280	28422
598	42346	28348
599	42413	28275
600	42484	28205
601	42563	28140
602	42631	28067
603	42700	27995
604	42768	27923
605	42837	27851
606	42906	27779
607	42976	27708
608	43046	27637
609	43129	27574
610	43207	27508
611	43277	27437
612	43347	27366
613	43417	27295
614	43506	27235
615	43578	27165
616	43645	27092
617	43715	27021
618	43784	26949
619	43854	26878
620	43930	26810
621	43997	26737
622	44066	26666
623	44136	26594
624	44205	26523
625	44275	26451
626	44343	26379
627	44408	26305
628	44478	26234
629	44563	26171
630	44631	26100
631	44700	26028
632	44768	25955
633	44836	25883
634	44903	25810
635	44973	25739
636	45042	25667
637	45109	25595
638	45177	25522
639	45245	25450
640	45342	25394
641	45411	25322
642	45494	25259
643	45564	25187
644	45633	25116
645	45704	25045
646	45772	24973
647	45841	24901
648	45909	24829
649	45978	24757
650	46047	24685
651	46114	24613
652	46183	24541
653	46252	24469
654	46317	24396
655	46392	24327
656	46463	24257
657	46533	24186
658	46603	24114
659	46672	24043
660	46741	23971
661	46811	23900
662	46880	23828
663	46951	23758
664	47020	23687
665	47096	23618
666	47180	23555
667	47255	23486
668	47324	23414
669	47391	23342
670	47464	23272
671	47569	23218
672	47640	23147
673	47718	23080
674	47785	23007
675	47851	22934
676	47920	22862
677	47987	22790
678	48055	22718
679	48125	22647
680	48206	22581
681	48274	22509
682	48359	22444
683	48428	22373
684	48496	22301
685	48563	22229
686	48632	22157
687	48699	22084
688	48767	22012
689	48837	21941
690	48905	21869
691	48972	21797
692	49040	21725
693	49107	21652
694	49176	21581
695	49245	21509
696	49312	21437
697	49383	21366
698	49452	21294
699	49520	21222
700	49590	21152
701	49660	21080
702	49771	21027
703	49843	20956
704	49914	20886
705	49984	20814
706	50053	20743
707	50121	20671
708	50191	20600
709	50259	20528
710	50327	20456
711	50399	20386
712	50467	20314
713	50536	20242
714	50606	20171
715	50673	20099
716	50741	20027
717	50808	19955
718	50891	19889
719	50961	19818
720	51032	19747
721	51100	19675
722	51169	19604
723	51238	19532
724	51307	19461
725	51376	19390
726	51444	19318
727	51511	19246
728	51580	19174
729	51650	19103
730	51719	19032
731	51788	18960
732	51858	18889
733	51975	18835
734	52045	18764
735	52116	18693
736	52183	18621
737	52252	18550
738	52318	18477
739	52390	18407
740	52457	18335
741	52525	18263
742	52594	18192
743	52663	18120
744	52791	18069
745	52861	17998
746	52982	17944
747	53052	17873
748	53120	17801
749	53189	17729
750	53259	17658
751	53329	17587
752	53398	17515
753	53468	17444
754	53537	17373
755	53605	17301
756	53674	17229
757	53742	17157
758	53812	17086
759	53882	17015
760	53951	16944
761	54021	16872
762	54118	16810
763	54189	16739
764	54258	16667
765	54331	16597
766	54400	16525
767	54469	16454
768	54539	16383
769	54608	16311
770	54678	16240
771	54747	16168
772	54817	16097
773	54885	16025
774	54955	15954
775	55024	15883
776	55092	15811
777	55160	15739
778	55230	15668
779	55308	15599
780	55383	15530
781	55450	15458
782	55520	15386
783	55588	15315
784	55657	15243
785	55728	15172
786	55798	15101
787	55867	15030
788	55937	14959
789	56006	14887
790	56082	14818
791	56151	14746
792	56220	14675
793	56305	14608
794	56396	14542
795	56466	14471
796	56535	14399
797	56603	14328
798	56672	14256
799	56739	14184
800	56807	14113
801	56876	14041
802	56945	13970
803	57013	13898
804	57082	13827
805	57150	13755
806	57219	13684
807	57292	13614
808	57364	13543
809	57433	13472
810	57503	13400
811	57570	13329
812	57639	13257
813	57710	13186
814	57778	13115
815	57847	13043
816	57912	12971
817	57981	12900
818	58049	12829
819	58117	12757
820	58185	12686
821	58254	12614
822	58324	12543
823	58393	12472
824	58460	12400
825	58559	12335
826	58633	12265
827	58702	12194
828	58767	12122
829	58835	12050
830	58902	11978
831	58972	11907
832	59041	11836
833	59110	11765
834	59179	11694
835	59248	11622
836	59319	11552
837	59389	11480
838	59455	11409
839	59521	11337
840	59589	11266
841	59657	11194
842	59732	11124
843	59799	11053
844	59868	10981
845	59937	10910
846	60006	10839
847	60074	10768
848	60142	10696
849	60210	10625
850	60282	10554
851	60359	10485
852	60429	10414
853	60499	10343
854	60568	10271
855	60636	10200
856	60734	10134
857	60807	10063
858	60877	9992
859	60947	9921
860	61015	9850
861	61083	9779
862	61151	9707
863	61221	9636
864	61293	9566
865	61361	9494
866	61438	9424
867	61508	9353
868	61577	9282
869	61645	9211
870	61713	9140
871	61780	9068
872	61848	8997
873	61918	8926
874	61989	8855
875	62058	8784
876	62126	8713
877	62194	8642
878	62265	8571
879	62333	8500
880	62402	8428
881	62473	8358
882	62542	8287
883	62610	8215
884	62679	8144
885	62745	8073
886	62813	8002
887	62881	7931
888	62991	7865
889	63061	7794
890	63130	7723
891	63197	7651
892	63266	7580
893	63340	7510
894	63419	7440
895	63488	7369
896	63557	7298
897	63627	7227
898	63695	7156
899	63764	7084
900	63842	7014
901	63913	6944
902	63983	6873
903	64058	6802
904	64130	6731
905	64201	6661
906	64270	6590
907	64340	6519
908	64409	6448
909	64479	6377
910	64548	6306
911	64618	6235
912	64689	6164
913	64765	6093
914	64836	6023
915	64906	5952
916	64977	5881
917	65047	5810
918	65152	5742
919	65220	5671
920	65288	5600
921	65356	5529
922	65425	5458
923	65494	5387
924	65580	5317
925	65647	5246
926	65716	5175
927	65783	5103
928	65850	5032
929	65920	4961
930	65989	4890
931	66057	4819
932	66125	4748
933	66194	4677
934	66262	4606
935	66329	4535
936	66400	4464
937	66468	4393
938	66537	4322
939	66605	4251
940	66673	4180
941	66741	4109
942	66809	4038
943	66879	3967
944	66948	3896
945	67017	3825
946	67085	3754
947	67156	3683
948	67224	3612
949	67334	3543
950	67414	3473
951	67484	3402
952	67551	3331
953	67619	3260
954	67688	3189
955	67756	3118
956	67825	3047
957	67900	2976
958	67969	2905
959	68037	2834
960	68105	2763
961	68175	2692
962	68242	2621
963	68317	2551
964	68386	2480
965	68454	2409
966	68523	2338
967	68591	2267
968	68661	2196
969	68731	2125
970	68800	2054
971	68871	1983
972	68940	1913
973	69011	1842
974	69079	1771
975	69153	1700
976	69220	1629
977	69288	1558
978	69357	1487
979	69426	1416
980	69532	1346
981	69601	1275
982	69671	1204
983	69738	1133
984	69807	1063
985	69875	992
986	69943	921
987	70012	850
988	70083	779
989	70153	708
990	70222	637
991	70291	566
992	70359	495
993	70427	425
994	70496	354
995	70564	283
996	70633	212
997	70702	141
998	70773	70
999	70843	0
